"DD Code=1586"	"APP"	"Accelerator Pedal Position"	"%"	0
"DD Code=1573"	"APM Crnt"	"Accessory Power Module Current"	"A"	0
"DD Code=1569"	"APM Temp1"	"Accessory Power Module Temperature 1"	"°C"	0
"DD Code=1570"	"APM Temp2"	"Accessory Power Module Temperature 2"	"°C"	0
"DD Code=1574"	"APM Volt"	"Accessory Power Module Voltage"	"V"	0
"DD Code=1549"	"ACCM Pow"	"Air Conditioning Compressor Power"	"kW"	0
"DD Code=1507"	"ACCM PowLim"	"Air Conditioning Compressor Power Limit"	"kW"	0
"DD Code=1548"	"ACCM Spd"	"Air Conditioning Compressor Speed"	"RPM"	0
"DD Code=1604"	"AC HSP"	"Air Conditioning High Side Refrigerant Pressure"	"kPa"	0
"DD Code=1547"	"AC LSP"	"Air Conditioning Low Side Refrigerant Pressure"	"kPa"	0
"DD Code=1552"	"AC LST"	"Air Conditioning Low Side Refrigerant Temp"	"°C"	0
"DD Code=1564"	"Amb Air Tmp"	"Ambient Air Temp"	"°C"	0
"DD Code=1594"	"AuxPmp Spd"	"Auxiliary Transmission Pump Speed"	"RPM"	0
"DD Code=1581"	"Axle Tq"	"Axle Torque (Actual)"	"Nm"	0
"DD Code=1584"	"Axle Tq Immd"	"Axle Torque Commanded (Immediate)"	"Nm"	0
"DD Code=1580"	"Axle Tq Pred"	"Axle Torque Commanded (Predicted)"	"Nm"	0
"DD Code=1509"	"CHCM Cmd"	"Cabin Heater Power Cmd"	"kW"	0
"DD Code=1508"	"CHCM Req"	"Cabin Heater Power Req"	"kW"	0
"DD Code=1544"	"Proximity"	"Charge Coupler Proximity Voltage"	"V"	0
"DD Code=1603"	"TPS"	"Commanded Throttle Position"	"%"	0
"DD Code=1563"	"HCP Mdl Vlt"	"Control Module Voltage (HCP)"	"V"	0
"DD Code=1562"	"DistTravl CC"	"Distance Traveled Since Code Clear"	"Km"	0
"DD Code=1560"	"MIL on Dist"	"Distance Traveled with MIL On"	"Km"	0
"DD Code=1585"	"Total Axl Tq"	"Driver Intended Axle Torque"	"Nm"	0
"DD Code=1583"	"Total Brk Tq"	"Driver Intended Brake Torque"	"Nm"	0
"DD Code=1554"	"ESS AC Cmd"	"Energy Storage System AC Comp. Power Cmd"	"kW"	0
"DD Code=1553"	"ESS AC Req"	"Energy Storage System AC Comp. Power Req"	"kW"	0
"DD Code=1512"	"ChrgngPowLim"	"Energy Storage System Charging Power Limit"	"W"	0
"DD Code=1610"	"ESS CondReq"	"Energy Storage System Conditioning Mode Req"	""	0
"DD Code=1611"	"ESS CondStat"	"Energy Storage System Conditioning Mode Stat"	""	0
"DD Code=1527"	"ESS Pmp Cmd"	"Energy Storage System Coolant Pump Cmd"	"%"	0
"DD Code=1515"	"ESS Pmp"	"Energy Storage System Coolant Pump Spd (%)"	"%"	0
"DD Code=1528"	"ESS Pmp Spd"	"Energy Storage System Coolant Pump Spd (RPM)"	"RPM"	0
"DD Code=1607"	"ESS Vlv Cmd"	"Energy Storage System Coolant Valve Cmd"	""	0
"DD Code=1608"	"ESS Vlv Pos"	"Energy Storage System Coolant Valve Pos"	""	0
"DD Code=1511"	"ESS Htr Cmd"	"Energy Storage System Heater Cmd"	"kW"	0
"DD Code=1541"	"ESS Htr Cmd"	"Energy Storage System Heater Cmd (%)"	"%"	0
"DD Code=1510"	"ESS Htr Req"	"Energy Storage System Heater Req"	"kW"	0
"DD Code=1505"	"ESS Inlet"	"Energy Storage System Inlet Temp"	"°C"	0
"DD Code=1506"	"ESS Outlet"	"Energy Storage System Outlet Temp"	"°C"	0
"DD Code=1568"	"Eng Act Trq"	"Engine Actual Torque"	"Nm"	0
"DD Code=1598"	"ECT"	"Engine Coolant Temperature"	"°C"	0
"DD Code=1599"	"Eng RPM"	"Engine Speed"	"RPM"	0
"DD Code=1500"	"CRFM"	"Front End Cooling Fan Spd Cmd(%)"	"%"	0
"DD Code=1543"	"Htr Vlv Cmd"	"Heater Core Coolant Valve Cmd"	"%"	0
"DD Code=1609"	"Htr Vlv Pos"	"Heater Core Coolant Valve Position"	""	0
"DD Code=1551"	"Htr Vlv Pos"	"Heater Core Coolant Valve Position (%)"	"%"	0
"DD Code=1523"	"HV Temp"	"High Voltage Battery Average Temp"	"°C"	0
"DD Code=1524"	"HV Crnt"	"High Voltage Battery Current"	"A"	0
"DD Code=1504"	"HV Cap"	"High Voltage Battery Estimated Capacity"	"A-Hr"	0
"DD Code=1520"	"LT ChrgPow"	"High Voltage Battery Long Term Charge Power"	"kW"	0
"DD Code=1519"	"LT DschrgPow"	"High Voltage Battery Long Term Discharge Power"	"kW"	0
"DD Code=1517"	"HV Max Vlts"	"High Voltage Battery Max Cell Voltage"	"V"	0
"DD Code=1521"	"HV Max Temp"	"High Voltage Battery Max Temp"	"°C"	0
