"Name", "ShortName", "ModeAndPID", "Equation", "Min Value", "Max Value", "Units", "OBD Header"
"*SOC(RAW)","SOC-R","015B","A*100/255",0,100,"%", 
"*M ECM Amb Temp", "AmbTemp","0046","(A-40)",-40,100,"C", 7E0
"*H2 HV Battery Temp ", "Bat Temp","22434F","(A-40)/2",-20,100,"C", 7E4
"*H2 Obboard Charger Voltage","ChargerVolt","224368","A*2",0,512,"V", 7E4
"*H2 OnBoard Charger Current Amps","ChargerAmps","224369","A*.2",0,50,"A", 7E4
"*H2 Charging HV? 41 B7","H2 41 B7","2241B7","256*A+b",0,256000,"V", 7E4
"*H2 Charger HV Volt 6B","H2 43 6B","22436B","(256*A+b)/2",0,400,"V", 7E4
"*H2 Charger HV Amps","H2 43 6C","22436C","(256*A+b)/20",0,,"A", 7E4
"*H2 Charger HV Watt","H2 43 73","224373","256*A+b",0,3000,"W", 7E4
"*H2 Charging 43 74","H2 43 74","224374","256*A+b",0,256000,"V", 7E4
"*H2 Charging LV? 43 7E","H2 43 7E","22437E","256*A+b",0,256000,"V", 7E4
"*H2 Last Charge AC Wh","H2 43 7D","22437D","(256*A+b)*10",0,200000,"Wh", 7E4
"*H2 Outside Temp Filtered", "OAT Filtered","22801F","((A-40)/2)",-20,50,"C", 7E4
"*H2 Outside Temp Raw", "OAT Raw","22801E","((A-40)/2)",-20,50,"C", 7E4
"*H2 Power Eletronics Cooling Temp","Ele.Temp","221C43","(A-40)/2",-20,100,"C", 7E4
"*H1 Output Shaft Speed 1942","H1 ShaftRPM ","221942","(256*A+b)/4",0,8000,"RPM", 7E1
"*H1 Gear Ratio 19a1","H1 Gear Ratio ","2219A1","256*A+b",0,256000,"V", 7E1
"*H1 1C 2F","H1 1C 2F","221C2F","256*A+b",0,256000,"V", 7E1
"*H1 1C 30","H1 1C 30","221C30","256*A+b",0,256000,"V", 7E1
"*H1 1C 36","H1 1C 36","221C36","256*A+b",0,256000,"V", 7E1
"*H1 1C 37","H1 1C 37","221C37","256*A+b",0,256000,"V", 7E1
"*H1 24 11","H1 24 11","222411","256*A+b",0,256000,"V", 7E1
"*H1 24 14","H1 24 14","222414","256*A+b",0,256000,"V", 7E1
"*H1 24 16","H1 24 16","222416","256*A+b",0,256000,"V", 7E1
"*H1 24 17","H1 24 17","222417","256*A+b",0,256000,"V", 7E1
"*H1 24 29","H1 24 29","222429","256*A+b",0,256000,"V", 7E1
"*H1 24 2B","H1 24 2B","22242B","256*A+b",0,256000,"V", 7E1
"*H1 24 2C","H1 24 2C","22242C","256*A+b",0,256000,"V", 7E1
"*H1 24 34","H1 24 34","222434","256*A+b",0,256000,"V", 7E1
"*H1 24 87","H1 24 87","222487","256*A+b",0,256000,"V", 7E1
"*H1 28 78","H1 28 78","222878","256*A+b",0,256000,"V", 7E1
"*H1 28 81","H1 28 81","222881","256*A+b",0,256000,"V", 7E1
"*H1 28 82","H1 28 82","222882","256*A+b",0,256000,"V", 7E1
"*H1 28 83","H1 28 83","222883","256*A+b",0,256000,"V", 7E1
"*H1 28 84","H1 28 84","222884","256*A+b",0,256000,"V", 7E1
"*H1 28 85","H1 28 85","222885","256*A+b",0,256000,"V", 7E1
"*H1 28 86","H1 28 86","222886","256*A+b",0,256000,"V", 7E1
"*H1 28 AF","H1 28 AF","2228AF","256*A+b",0,256000,"V", 7E1
"*H1 28 B0","H1 28 B0","2228B0","256*A+b",0,256000,"V", 7E1
"*H1 28 BC","H1 28 BC","2228BC","256*A+b",0,256000,"V", 7E1
"*H1 28 BD","H1 28 BD","2228BD","256*A+b",0,256000,"V", 7E1
"*H1 28 BE","H1 28 BE","2228BE","256*A+b",0,256000,"V", 7E1
"*H1 28 E8","H1 28 E8","2228E8","256*A+b",0,256000,"V", 7E1
"*H1 40 D0","H1 40 D0","2240D0","256*A+b",0,256000,"V", 7E1
"*H2 13 AF","H2 13 AF","2213AF","256*A+b",0,256000,"V", 7E4
"*H2 40 E7","H2 40 E7","2240E7","256*A+b",0,256000,"V", 7E4
"*H2 41 B2","H2 41 B2","2241B2","256*A+b",0,256000,"V", 7E4
"*H2 41 B4","H2 41 B4","2241B4","256*A+b",0,256000,"V", 7E4
"*H2 41 B6","H2 41 B6","2241B6","256*A+b",0,256000,"V", 7E4
"*H2 43 2B","H2 43 2B","22432B","256*A+b",0,256000,"V", 7E4
"*H2 43 2D","H2 43 2D","22432D","256*A+b",0,256000,"V", 7E4
"*H2 43 2E","H2 43 2E","22432E","256*A+b",0,256000,"V", 7E4
"*H2 43 56","H2 43 56","224356","256*A+b",0,256000,"V", 7E4
