GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),SOC(RAW)(%),*?Engine Oil Pressure(psi),*?Engine Oil Temp(°F),*?Engine Torque(Nm),*?Fuel Level(%),*?Oil Life(%),*HPCM1 19 42(V),*HPCM1 19 A1(V),*HPCM1 1C 2F(V),*HPCM1 1C 30(V),*HPCM1 1C 36(V),*HPCM1 1C 37(V),*HPCM1 24 11(V),*HPCM1 24 14(V),*HPCM1 24 16(V),*HPCM1 24 17(V),*HPCM1 24 29(V),*HPCM1 24 2B(V),*HPCM1 24 2C(V),*HPCM1 24 34(V),*HPCM1 24 87(V),*HPCM1 28 78(V),*HPCM1 28 81(V),*HPCM1 28 82(V),*HPCM1 28 83(V),*HPCM1 28 84(V),*HPCM1 28 85(V),*HPCM1 28 86(V),*HPCM1 28 AF(V),*HPCM1 28 B0(V),*HPCM1 28 BC(V),*HPCM1 28 BD(V),*HPCM1 28 BE(V),*HPCM1 28 E8(V),*HPCM1 40 D0(V),*HPCM2 13 AF(V),*HPCM2 40 E7(V),*HPCM2 41 B2(V),*HPCM2 41 B4(V),*HPCM2 41 B6(V),*HPCM2 41 B7(V),*HPCM2 43 2B(V),*HPCM2 43 2D(V),*HPCM2 43 2E(V),*HPCM2 43 56(V),*HPCM2 43 58(V),*HPCM2 43 5A(V),*HPCM2 43 5D(V),*HPCM2 43 6B(V),*HPCM2 43 6C(V),*HPCM2 43 6D(V),*HPCM2 43 6E(V),*HPCM2 43 6F(V),*HPCM2 43 73(V),*HPCM2 43 74(V),*HPCM2 43 7D(V),*HPCM2 43 7E(V),*HPCM2 43 7F(V),*HPCM2 43 B0(V),*HPCM2 43 BB(V),*HPCM2 82 B2(V),*HPCM2 82 B5(V),*HPCM2 82 B7(V),*HPCM2 83 34(V),*HPCM2 83 5A(V),*HPCM2 83 5C(V),*HPCM2 90 5C(V),*HPCM2 HV Battery Temp (V),*HPCM2 Obboard Charger Voltage(V),*HPCM2 OnBoard Charger Current Amps(A),*HPCM2 Outside Temp Filtered 1F(V),*HPCM2 Outside Temp Raw(V),*HPCM2 Power Eletronics Cooling Temp(°F),*master Commanded Throttle Pos(%),*master Control Module Voltage mode22(V),*master Distance Travel since code cleared(miles),*master Distance Travel with MIL On(miles),*master ECM 11 31  B1(B1),*master ECM 15 64  B1(B1),*master ECM 15 70  B1(B1),*master ECM 15 71  B1(B1),*master ECM 15 72  B1(B1),*master ECM 15 73  B1(B1),*master ECM 1A 2D  B1(V),*master ECM 20 3F  B1(B1),*master ECM 20 7E  B1(B1),*master ECM 28 10  B1(B1),*master ECM Amb Temp(°F),*master Engine Coolant Temp(°F),*master Engine RPM(rpm),*master Engine Torque(Nm),*master Engine Torque m1(Nm),*master Engine Torque m1%(%),*master Hybrid Pack Remaining (SOC)(%),*master Intake Air Temp IAT(°F),*master Intake Manifold Press(psi),*master Spark Advance(Deg),*master Speed(km/hr),*SOC(RAW)(%),*SOC(USABLE)(%),*Tran TCM  19 40(°F),*Tran TCM  19 41 1byte(V),*Tran TCM  19 9E 1byte(V),*Tran TCM  19 D4 1byte(V),*Tran TCM  1A 18 1byte(V),*Tran TCM  1A 1F 1byte(V),*Tran TCM  28 51 1byte(V),*Tran TCM  28 52 1byte(V),*Tran TCM  28 53 1byte(V),*Tran TCM  28 54 1byte(V)
Sat Jan 05 14:34:31 MST 2013,05-Jan-2013 14:32:13.526,-104.86746155,39.07588912,0.0,2.828427,2087.39990234375,213.3,0.19068487,0.95342433,9.57510471,0.00007486,-,0,48.20000076,-,39.2156868,-,0,0,0,0,0,0,0,0,0,0,6088,0,0,88,0,0,0,0,0,0,188002,88002,16039,15039,0,0,88002,0,0,0,0,0,0,0,0,235025,220002,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,12,0,0,44,44,37.40000153,18.43137169,0,4006.6015625,0,0,0,0,0,0,0,107255,0,0,0,35.59999847,44.59999847,0,0,-,-,71.37255096,51.79999924,11.45798111,0,0,71.37255096,0.76904655,62.59999847,0,0,0,0,0,0,0,0,0
Sat Jan 05 14:34:42 MST 2013,05-Jan-2013 14:32:23.720,-104.8674616,39.07588916,0.0,2.828427,2087.39990234375,213.3,0.19068487,0.92618364,9.57510471,-0.00019634,-,0,48.20000076,-,39.2156868,-,0,0,0,0,0,0,0,0,0,0,6088,0,0,88,0,0,0,0,0,0,144001,144001,16039,15039,0,0,144001,0,0,0,0,0,0,0,0,233025,220002,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,12,0,0,44,44,37.40000153,18.43137169,0,4006.6015625,0,0,0,0,0,0,0,107255,0,0,0,35.59999847,44.59999847,0,0,-,-,71.37255096,51.79999924,11.45798111,0,0,71.37255096,0.76904655,62.59999847,0,0,0,0,0,0,0,0,0
Sat Jan 05 14:34:59 MST 2013,05-Jan-2013 14:32:40.957,-104.86746165,39.07588922,0.0,2.828427,2087.39990234375,213.3,0.19068487,0.95342433,9.50700283,-0.00683147,-,0,48.20000076,-,39.2156868,-,0,0,0,0,0,0,0,0,0,0,6088,0,0,88,0,0,0,0,0,0,44001,44001,16039,15039,0,0,44001,0,0,0,0,0,0,0,0,235025,220002,0,1000,0,0,0,0,0,0,0,0,0,144001,2000,0,0,0,0,0,0,0,0,0,0,0,12,0,0,44,44,36.5,18.43137169,0,4006.6015625,0,0,0,0,0,0,0,107255,0,0,0,-40,44.59999847,0,0,-,-,71.37255096,51.79999924,11.45798111,0,0,71.37255096,0.76904655,62.59999847,0,0,0,0,0,0,0,0,0
Sat Jan 05 14:35:22 MST 2013,05-Jan-2013 14:33:03.885,-104.86746154,39.07588929,0.0,2.828427,2087.39990234375,213.3,0.19068487,0.95342433,9.53424358,-0.00406903,-,0,48.20000076,-,39.2156868,-,0,0,0,0,0,0,0,0,0,0,6088,0,0,88,0,0,0,0,0,0,44001,44001,16039,15039,0,0,44001,0,0,0,0,0,0,0,0,235025,220002,0,1000,0,0,0,0,0,0,0,0,0,144001,2000,0,0,0,0,0,0,0,0,0,0,0,12,0,0,44,44,36.5,18.43137169,0,4006.6015625,0,0,0,0,0,0,0,107255,0,0,0,-40,44.59999847,0,0,-,-,71.37255096,51.79999924,11.45798111,0,0,71.37255096,0.76904655,62.59999847,0,0,0,0,0,0,0,0,0
Sat Jan 05 14:35:46 MST 2013,05-Jan-2013 14:33:27.603,-104.86746159,39.0758893,0.0,2.828427,2087.39990234375,213.3,0.23154591,0.95342433,9.50700283,-0.0067395,-,0,48.20000076,-,39.2156868,-,0,0,0,0,0,0,0,0,0,0,6088,0,0,88,0,0,0,0,0,0,44001,44001,16039,15039,0,0,44001,0,0,0,0,0,0,0,0,235025,220002,0,1000,0,0,0,0,0,0,0,0,0,144001,2000,0,0,0,0,0,0,0,0,0,0,0,12,0,0,44,44,36.5,18.43137169,0,4006.6015625,0,0,0,0,0,0,0,107255,0,0,0,-40,44.59999847,0,0,-,-,71.37255096,51.79999924,11.45798111,0,0,71.37255096,0.76904655,62.59999847,0,0,0,0,0,0,0,0,0
Sat Jan 05 14:36:10 MST 2013,05-Jan-2013 14:33:51.214,-104.86746157,39.07588931,0.0,3.6055512,2087.39990234375,213.3,0.19068487,0.95342433,9.61596584,0.00421888,-,0,48.20000076,-,39.2156868,-,0,0,0,0,0,0,0,0,0,0,6088,0,0,88,0,0,0,0,0,0,44001,44001,16039,15039,0,0,44001,0,0,0,0,0,0,0,0,235025,220002,0,1000,0,0,0,0,0,0,0,0,0,144001,2000,0,0,0,0,0,0,0,0,0,0,0,12,0,0,44,44,36.5,18.43137169,0,4006.6015625,0,0,0,0,0,0,0,107255,0,0,0,-40,44.59999847,0,0,-,-,71.37255096,51.79999924,11.45798111,0,0,71.37255096,0.76904655,62.59999847,0,0,0,0,0,0,0,0,0
Sat Jan 05 14:36:35 MST 2013,05-Jan-2013 14:34:16.479,-104.8674615,39.07588937,0.0,4.472136,2087.39990234375,213.3,0,2.30183887,9.38441944,0.0039742,-,0,48.20000076,-,39.2156868,-,0,0,0,0,0,0,0,0,0,0,6088,0,0,88,0,0,0,0,0,0,44001,44001,16039,15039,0,0,44001,0,0,0,0,0,0,0,0,235025,220002,0,1000,0,0,0,0,0,0,0,0,0,144001,2000,0,0,0,0,0,0,0,0,0,0,0,12,0,0,44,44,36.5,18.43137169,0,4006.6015625,0,0,0,0,0,0,0,107255,0,0,0,-40,44.59999847,0,0,-,-,71.37255096,51.79999924,11.45798111,0,0,71.37255096,0.76904655,62.59999847,0,0,0,0,0,0,0,0,0
Sat Jan 05 14:36:59 MST 2013,05-Jan-2013 14:34:40.259,-104.86746148,39.07588941,0.0,5.0,2087.39990234375,213.3,-0.04086104,2.22011662,9.42528057,0.00608563,-,0,48.20000076,-,39.2156868,-,0,0,0,0,0,0,0,0,0,0,6088,0,0,88,0,0,0,0,0,0,44001,44001,16039,15039,0,0,44001,0,0,0,0,0,0,0,0,235025,220002,0,1000,0,0,0,0,0,0,0,0,0,144001,2000,0,0,0,0,0,0,0,0,0,0,0,12,0,0,44,44,36.5,18.43137169,0,4006.6015625,0,0,0,0,0,0,0,107255,0,0,0,-40,44.59999847,0,0,-,-,71.37255096,51.79999924,11.45798111,0,0,71.37255096,0.76904655,62.59999847,0,0,0,0,0,0,0,0,0
Sat Jan 05 14:37:22 MST 2013,05-Jan-2013 14:35:03.988,-104.86746143,39.07588945,0.0,5.0,2087.39990234375,213.3,0,2.26097775,9.34355831,-0.00105864,-,0,48.20000076,-,39.2156868,-,0,0,0,0,0,0,0,0,0,0,6088,0,0,88,0,0,0,0,0,0,44001,44001,16039,15039,0,0,44001,0,0,0,0,0,0,0,0,235025,220002,0,1000,0,0,0,0,0,0,0,0,0,144001,2000,0,0,0,0,0,0,0,0,0,0,0,12,0,0,44,44,36.5,18.43137169,0,4006.6015625,0,0,0,0,0,0,0,107255,0,0,0,-40,44.59999847,0,0,-,-,71.37255096,51.79999924,11.45798111,0,0,71.37255096,0.76904655,62.59999847,0,0,0,0,0,0,0,0,0
Sat Jan 05 14:37:46 MST 2013,05-Jan-2013 14:35:27.876,-104.86746148,39.07588951,0.0,5.0,2087.39990234375,213.3,0,2.26097775,9.42528057,0.00704014,-,0,48.20000076,-,39.2156868,-,0,0,0,0,0,0,0,0,0,0,6088,0,0,88,0,0,0,0,0,0,44001,44001,16039,15039,0,0,44001,0,0,0,0,0,0,0,0,235025,220002,0,1000,0,0,0,0,0,0,0,0,0,144001,2000,0,0,0,0,0,0,0,0,0,0,0,12,0,0,44,44,36.5,18.43137169,0,4006.6015625,0,0,0,0,0,0,0,107255,0,0,0,-40,44.59999847,0,0,-,-,71.37255096,51.79999924,11.45798111,0,0,71.37255096,0.76904655,62.59999847,0,0,0,0,0,0,0,0,0
Sat Jan 05 14:38:10 MST 2013,05-Jan-2013 14:35:51.571,-104.8674616,39.07588952,0.0,5.0,2087.39990234375,213.3,0,2.26097775,9.38441944,0.00299025,-,0,48.20000076,-,39.2156868,-,0,0,0,0,0,0,0,0,0,0,6088,0,0,88,0,0,0,0,0,0,44001,44001,16039,15039,0,0,44001,0,0,0,0,0,0,0,0,235025,220002,0,1000,0,0,0,0,0,0,0,0,0,144001,2000,0,0,0,0,0,0,0,0,0,0,0,12,0,0,44,44,35.59999847,18.43137169,0,4006.6015625,0,0,0,0,0,0,0,107255,0,0,0,-40,44.59999847,0,0,-,-,71.37255096,51.79999924,11.45798111,0,0,71.37255096,0.76904655,62.59999847,0,0,0,0,0,0,0,0,0
